Experiment 'schedule-test', execution 1 of gemm with dataset: TOY_DATASET, schedule: , chunk_size: , threads:  start at 08/11/2020-22:41:08
Experiment 'schedule-test', execution 2 of gemm with dataset: TOY_DATASET, schedule: , chunk_size: , threads:  start at 08/11/2020-22:41:12
Experiment 'schedule-test', execution 3 of gemm with dataset: TOY_DATASET, schedule: , chunk_size: , threads:  start at 08/11/2020-22:41:16
Experiment 'schedule-test', execution 4 of gemm with dataset: TOY_DATASET, schedule: , chunk_size: , threads:  start at 08/11/2020-22:41:19
Experiment 'schedule-test', execution 5 of gemm with dataset: TOY_DATASET, schedule: , chunk_size: , threads:  start at 08/11/2020-22:41:23
Experiment 'schedule-test', execution 6 of gemm with dataset: TOY_DATASET, schedule: , chunk_size: , threads:  start at 08/11/2020-22:41:27
Experiment 'schedule-test', execution 7 of gemm with dataset: TOY_DATASET, schedule: , chunk_size: , threads:  start at 08/11/2020-22:41:31
Experiment 'schedule-test', execution 8 of gemm with dataset: TOY_DATASET, schedule: , chunk_size: , threads:  start at 08/11/2020-22:41:35
Experiment 'schedule-test', execution 9 of gemm with dataset: TOY_DATASET, schedule: , chunk_size: , threads:  start at 08/11/2020-22:41:38
Experiment 'schedule-test', execution 10 of gemm with dataset: TOY_DATASET, schedule: , chunk_size: , threads:  start at 08/11/2020-22:41:42
Experiment 'schedule-test', execution 1 of gemm with dataset: TOY_DATASET, schedule: , chunk_size: , threads:  start at 08/11/2020-22:52:34
Experiment 'schedule-test', execution 1 of gemm with dataset: TOY_DATASET, schedule: , chunk_size: , threads:  start at 08/11/2020-22:59:23
Experiment 'schedule-test', execution 1 of gemm with dataset: TOY_DATASET, schedule: , chunk_size: , threads:  start at 08/11/2020-22:59:37
Experiment 'schedule-test', execution 2 of gemm with dataset: TOY_DATASET, schedule: , chunk_size: , threads:  start at 08/11/2020-22:59:40
Experiment 'schedule-test', execution 3 of gemm with dataset: TOY_DATASET, schedule: , chunk_size: , threads:  start at 08/11/2020-22:59:44
Experiment 'schedule-test', execution 4 of gemm with dataset: TOY_DATASET, schedule: , chunk_size: , threads:  start at 08/11/2020-22:59:48
Experiment 'schedule-test', execution 5 of gemm with dataset: TOY_DATASET, schedule: , chunk_size: , threads:  start at 08/11/2020-22:59:52
Experiment 'schedule-test', execution 6 of gemm with dataset: TOY_DATASET, schedule: , chunk_size: , threads:  start at 08/11/2020-22:59:55
Experiment 'schedule-test', execution 7 of gemm with dataset: TOY_DATASET, schedule: , chunk_size: , threads:  start at 08/11/2020-22:59:59
Experiment 'schedule-test', execution 8 of gemm with dataset: TOY_DATASET, schedule: , chunk_size: , threads:  start at 08/11/2020-23:00:03
Experiment 'schedule-test', execution 9 of gemm with dataset: TOY_DATASET, schedule: , chunk_size: , threads:  start at 08/11/2020-23:00:07
Experiment 'schedule-test', execution 10 of gemm with dataset: TOY_DATASET, schedule: , chunk_size: , threads:  start at 08/11/2020-23:00:10
Experiment 'schedule-test', execution 1 of gemm with dataset: TOY_DATASET, schedule: , chunk_size: , threads:  start at 09/11/2020-00:14:31
Experiment 'schedule-test', execution 2 of gemm with dataset: TOY_DATASET, schedule: , chunk_size: , threads:  start at 09/11/2020-00:14:34
Experiment 'schedule-test', execution 3 of gemm with dataset: TOY_DATASET, schedule: , chunk_size: , threads:  start at 09/11/2020-00:14:38
Experiment 'schedule-test', execution 4 of gemm with dataset: TOY_DATASET, schedule: , chunk_size: , threads:  start at 09/11/2020-00:14:42
Experiment 'schedule-test', execution 5 of gemm with dataset: TOY_DATASET, schedule: , chunk_size: , threads:  start at 09/11/2020-00:14:46
Experiment 'schedule-test', execution 6 of gemm with dataset: TOY_DATASET, schedule: , chunk_size: , threads:  start at 09/11/2020-00:14:49
Experiment 'schedule-test', execution 7 of gemm with dataset: TOY_DATASET, schedule: , chunk_size: , threads:  start at 09/11/2020-00:14:53
Experiment 'schedule-test', execution 8 of gemm with dataset: TOY_DATASET, schedule: , chunk_size: , threads:  start at 09/11/2020-00:14:57
Experiment 'schedule-test', execution 9 of gemm with dataset: TOY_DATASET, schedule: , chunk_size: , threads:  start at 09/11/2020-00:15:01
Experiment 'schedule-test', execution 10 of gemm with dataset: TOY_DATASET, schedule: , chunk_size: , threads:  start at 09/11/2020-00:15:05
Experiment 'schedule-test', execution 1 of gemm with dataset: TOY_DATASET, schedule: , chunk_size: , threads:  start at 09/11/2020-00:17:25
Experiment 'schedule-test', execution 2 of gemm with dataset: TOY_DATASET, schedule: , chunk_size: , threads:  start at 09/11/2020-00:17:28
Experiment 'schedule-test', execution 3 of gemm with dataset: TOY_DATASET, schedule: , chunk_size: , threads:  start at 09/11/2020-00:17:32
